id,user_id,comment_id
1,6,1
2,1,1
3,10,2
4,9,2
5,5,3
6,9,3
7,6,3
8,3,4
9,9,4
10,7,4
11,10,4
12,6,4
13,5,5
14,3,5
15,8,5
16,10,6
17,2,6
18,1,6
19,5,6
20,3,6
21,3,7
22,7,7
23,10,7
24,6,8
25,5,8
26,8,8
27,3,8
28,8,9
29,1,9
30,6,9
31,2,10
32,8,10
33,5,10
34,9,10
35,4,10
36,7,11
37,3,11
38,10,11
39,5,11
40,10,12
41,2,12
42,2,13
43,6,13
44,8,13
45,7,14
46,9,14
47,6,14
48,4,14
49,10,15
50,3,15
51,8,15
52,1,15
53,6,15
54,1,16
55,9,16
56,7,17
57,4,17
58,2,18
59,7,18
60,7,19
61,10,19
62,2,19
63,6,19
64,2,20
65,1,20
66,7,21
67,9,21
68,3,21
69,9,22
70,7,22
71,8,22
72,6,22
73,10,22
74,4,23
75,8,23
76,2,23
77,3,23
78,7,23
79,8,24
80,5,24
81,2,24
82,1,25
83,5,25
84,8,25
85,4,25
86,8,26
87,4,26
88,6,26
89,3,26
90,2,27
91,10,27
92,7,27
93,6,27
94,4,28
95,1,28
96,5,28
97,10,28
98,9,28
99,2,29
100,10,29
101,7,29
102,9,29
103,3,29
104,2,30
105,4,30
106,9,30
107,9,31
108,7,31
109,8,31
110,3,31
111,4,31
112,6,32
113,7,32
114,4,32
115,9,32
116,8,33
117,3,33
118,7,33
119,6,34
120,5,34
121,9,34
122,3,35
123,7,35
124,2,35
125,6,35
126,8,36
127,6,36
128,1,36
129,10,37
130,9,37
131,6,38
132,5,38
133,6,39
134,5,39
135,6,40
136,2,40
137,5,40
138,3,40
139,9,40
140,4,41
141,8,41
142,1,41
143,10,41
144,7,41
145,3,42
146,6,42
147,1,42
148,7,42
149,9,43
150,3,43
151,4,43
152,1,43
153,7,43
154,10,44
155,6,44
156,1,44
157,7,45
158,8,45
159,7,46
160,8,46
161,6,47
162,8,47
163,9,47
164,7,47
165,3,47
166,4,48
167,6,48
168,9,49
169,2,49
170,1,50
171,3,50
172,7,50
173,8,50
174,10,50
175,4,51
176,1,51
177,9,51
178,10,51
179,2,51
180,9,52
181,5,52
182,8,52
183,3,52
184,10,52
185,4,53
186,2,53
187,3,53
188,9,53
189,6,54
190,10,54
191,8,54
192,9,54
193,9,55
194,8,55
195,10,55
196,4,55
197,6,56
198,8,56
199,7,57
200,6,57
201,4,57
202,6,58
203,1,58
204,3,59
205,9,59
206,3,60
207,8,60
208,2,60
209,4,60
210,6,60
211,9,61
212,2,61
213,8,61
214,6,62
215,7,62
216,8,62
217,10,62
218,9,62
219,1,63
220,6,63
221,4,64
222,5,64
223,9,65
224,8,65
225,3,66
226,4,66
227,7,66
228,10,66
229,3,67
230,4,67
231,9,67
232,6,68
233,7,68
234,3,68
235,10,69
236,5,69
237,9,69
238,2,69
239,6,69
240,6,70
241,2,70
242,4,70
243,8,70
244,1,71
245,5,71
246,4,71
247,1,72
248,5,72
249,5,73
250,4,73
251,3,73
252,8,73
253,10,73
254,2,74
255,1,74
256,5,74
257,8,74
258,6,74
259,8,75
260,5,75
261,6,75
262,3,75
263,1,76
264,8,76
265,3,76
266,5,77
267,7,77
268,10,77
269,6,78
270,5,78
271,4,79
272,3,79
273,10,79
274,6,80
275,8,80
276,10,80
277,9,80
278,1,81
279,6,81
280,2,81
281,5,81
282,3,81
283,3,82
284,4,82
285,10,82
286,6,82
287,4,83
288,10,83
289,3,83
290,7,83
291,9,84
292,4,84
293,3,84
294,1,84
295,5,85
296,3,85
297,6,85
298,1,85
299,1,86
300,7,86
301,4,86
302,9,86
303,2,87
304,3,87
305,6,87
306,8,88
307,5,88
308,1,88
309,3,88
310,4,88
311,1,89
312,7,89
313,5,89
314,10,90
315,8,90
316,4,91
317,10,91
318,8,91
319,6,91
320,2,91
321,9,92
322,5,92
323,2,92
324,3,92
325,10,92
326,1,93
327,10,93
328,2,93
329,9,93
330,8,93
331,2,94
332,6,94
333,8,94
334,9,94
335,4,94
336,9,95
337,3,95
338,5,95
339,6,96
340,10,96
341,8,96
342,9,96
343,3,96
344,8,97
345,6,97
346,2,98
347,8,98
348,10,99
349,1,99
350,4,99
351,8,99
352,2,100
353,3,100
354,6,100
355,8,100
356,7,100
357,8,101
358,10,101
359,6,101
360,5,101
361,2,101
362,6,102
363,7,102
364,3,103
365,6,103
366,8,103
367,2,104
368,10,104
369,4,104
370,10,105
371,8,105
372,1,106
373,2,106
374,3,106
375,2,107
376,7,107
377,6,107
378,5,107
379,9,107
380,5,108
381,1,108
382,9,108
383,10,108
384,8,108
385,5,109
386,7,109
387,3,109
388,10,109
389,9,109
390,1,110
391,4,110
392,9,110
393,7,110
394,2,110
395,5,111
396,6,111
397,2,111
398,10,111
399,3,111
400,5,112
401,8,112
402,6,112
403,5,113
404,3,113
405,10,113
406,1,113
407,8,113
408,8,114
409,5,114
410,1,114
411,3,114
412,1,115
413,10,115
414,8,115
415,5,115
416,4,115
417,4,116
418,9,116
419,5,117
420,6,117
421,2,117
422,10,117
423,7,118
424,6,118
425,3,118
426,4,118
427,1,118
428,6,119
429,7,119
430,5,120
431,6,120
432,10,120
433,9,120
434,4,120
435,7,121
436,5,121
437,9,121
438,1,121
439,3,121
440,3,122
441,9,122
442,10,123
443,3,123
444,2,123
445,4,123
446,6,123
447,9,124
448,2,124
449,4,124
450,10,124
451,5,124
452,6,125
453,1,125
454,5,125
455,7,125
456,8,126
457,2,126
458,4,126
459,6,126
460,6,127
461,3,127
462,5,127
463,1,128
464,3,128
465,6,128
466,4,128
467,1,129
468,10,129
469,8,129
470,9,129
471,7,129
472,9,130
473,6,130
474,1,130
475,2,130
476,7,130
477,9,131
478,10,131
479,7,131
480,5,131
481,5,132
482,6,132
483,1,132
484,3,132
485,1,133
486,7,133
487,10,134
488,8,134
489,4,134
490,3,134
491,7,135
492,6,135
493,2,135
494,10,136
495,6,136
496,4,136
497,9,136
498,4,137
499,5,137
500,1,138
501,8,138
502,2,138
503,5,138
504,10,138
505,3,139
506,8,139
507,5,140
508,4,140
509,8,141
510,2,141
511,5,142
512,7,142
513,1,142
514,4,142
515,7,143
516,6,143
517,9,143
518,6,144
519,3,144
520,10,144
521,10,145
522,2,145
523,6,145
524,1,145
525,10,146
526,4,146
527,1,146
528,2,147
529,9,147
530,1,148
531,10,148
532,2,148
533,8,148
534,4,149
535,2,149
536,3,149
537,1,150
538,3,150
539,4,150
540,2,150
541,4,151
542,1,151
543,6,151
544,2,152
545,8,152
546,7,152
547,5,152
548,3,152
549,10,153
550,6,153
551,5,154
552,1,154
553,9,155
554,5,155
555,8,155
556,4,155
557,5,156
558,9,156
559,4,157
560,3,157
561,4,158
562,10,158
563,9,158
564,2,158
565,5,159
566,4,159
567,2,159
568,1,159
569,6,159
570,7,160
571,2,160
572,8,160
573,4,161
574,5,161
575,7,161
576,9,162
577,10,162
578,1,162
579,2,163
580,10,163
581,1,164
582,3,164
583,2,164
584,8,165
585,9,165
586,5,166
587,9,166
588,7,166
589,1,166
590,10,166
591,5,167
592,1,167
593,8,167
594,6,167
595,10,167
596,5,168
597,10,168
598,1,168
599,3,168
600,7,168
601,6,169
602,7,169
603,8,169
604,5,170
605,6,170
606,9,170
607,4,170
608,10,170
609,1,171
610,8,171
611,2,171
612,5,172
613,1,172
614,7,172
615,6,172
616,3,172
617,2,173
618,6,173
619,7,173
620,3,173
621,2,174
622,5,174
623,10,174
624,10,175
625,9,175
626,2,175
627,7,175
628,9,176
629,6,176
630,7,177
631,1,177
632,10,177
633,8,178
634,7,178
635,6,178
636,9,178
637,5,179
638,4,179
639,7,179
640,8,180
641,6,180
642,8,181
643,1,181
644,7,182
645,4,182
646,3,182
647,6,183
648,4,183
649,1,184
650,6,184
651,8,184
652,1,185
653,7,185
654,6,185
655,1,186
656,3,186
657,8,187
658,5,187
659,9,187
660,4,188
661,6,188
662,5,188
663,9,188
664,1,188
665,8,189
666,2,189
667,7,189
668,3,189
669,4,189
670,4,190
671,3,190
672,7,191
673,3,191
674,5,191
675,10,191
676,1,191
677,1,192
678,9,192
679,2,193
680,5,193
681,7,194
682,10,194
683,6,194
684,4,194
685,9,194
686,10,195
687,8,195
688,2,195
689,5,195
690,3,196
691,4,196
692,6,196
693,5,197
694,8,197
695,4,197
696,2,197
697,3,198
698,9,198
699,6,198
700,7,198
701,8,198
702,2,199
703,10,199
704,8,199
705,7,200
706,8,200
707,9,200
708,3,200
709,1,200
710,9,201
711,2,201
712,7,202
713,8,202
714,3,202
715,5,202
716,7,203
717,10,203
718,9,203
719,2,204
720,8,204
721,7,204
722,5,204
723,1,205
724,4,205
725,7,205
726,8,205
727,1,206
728,7,206
729,8,206
730,9,207
731,2,207
732,10,207
733,7,207
734,1,207
735,7,208
736,10,208
737,3,208
738,6,209
739,8,209
740,9,209
741,2,209
742,7,209
743,6,210
744,7,210
745,2,211
746,7,211
747,3,211
748,6,211
749,3,212
750,5,212
751,5,213
752,4,213
753,2,213
754,4,214
755,8,214
756,2,214
757,10,215
758,5,215
759,1,215
760,1,216
761,6,216
762,9,216
763,5,216
764,2,216
765,8,217
766,2,217
767,3,218
768,9,218
769,7,219
770,1,219
771,7,220
772,6,220
773,5,220
774,6,221
775,1,221
776,7,221
777,9,221
778,10,221
779,3,222
780,6,222
781,7,222
