id,user_id,post_id
1,1,1
2,2,1
3,9,2
4,8,2
5,4,3
6,3,3
7,7,3
8,1,3
9,8,4
10,4,4
11,9,5
12,3,5
13,10,5
14,6,5
15,4,6
16,9,6
17,8,7
18,1,7
19,9,7
20,7,8
21,6,8
22,5,8
23,1,8
24,10,8
25,3,9
26,9,9
27,6,10
28,10,10
29,9,10
30,8,10
31,2,11
32,4,11
33,1,11
34,10,11
35,8,12
36,5,12
37,1,13
38,10,13
39,9,13
40,5,13
41,10,14
42,4,14
43,9,15
44,1,15
45,7,15
46,4,16
47,8,16
48,6,16
49,10,16
50,9,16
51,4,17
52,1,17
53,9,17
54,10,17
55,7,17
56,1,18
57,3,18
58,4,18
59,9,18
60,9,19
61,8,19
62,2,19
63,5,20
64,9,20
65,1,20
66,3,20
67,3,21
68,6,21
69,7,21
70,2,22
71,7,22
72,3,22
73,10,22
74,8,22
75,4,23
76,7,23
77,2,23
78,8,23
79,10,23
80,9,24
81,8,24
82,5,24
83,2,24
84,6,25
85,4,25
86,1,25
87,7,25
88,5,25
89,2,26
90,1,26
91,6,27
92,8,27
93,3,27
94,2,27
95,8,28
96,5,28
97,4,28
98,7,29
99,8,29
100,5,30
101,10,30
102,9,30
103,2,30
104,6,30
105,4,31
106,10,31
107,7,31
108,3,31
109,1,32
110,5,32
111,4,32
112,10,32
113,2,33
114,10,33
115,8,33
116,2,34
117,10,34
118,7,34
119,9,35
120,6,35
121,2,35
122,3,35
123,3,36
124,2,36
125,5,37
126,4,37
127,10,38
128,2,38
129,1,38
130,5,38
131,4,38
132,6,39
133,7,39
134,1,39
135,2,39
136,4,40
137,8,40
138,6,41
139,8,41
140,7,41
141,10,41
142,8,42
143,2,42
144,7,42
145,4,43
146,7,43
147,8,43
148,3,43
149,5,44
150,6,44
151,8,44
152,10,45
153,5,45
154,4,45
155,5,46
156,2,46
157,4,46
158,10,46
159,9,47
160,8,47
161,5,48
162,3,48
163,9,48
164,1,49
165,5,49
166,2,49
167,4,49
168,7,49
169,8,50
170,2,50
171,8,51
172,1,51
173,2,51
174,4,51
175,1,52
176,3,52
177,7,52
178,5,52
179,10,52
180,5,53
181,4,53
182,6,54
183,5,54
184,10,54
185,3,54
186,8,54
187,3,55
188,8,55
189,5,55
190,9,56
191,8,56
192,6,57
193,10,57
194,1,57
195,5,57
196,3,58
197,1,58
198,7,58
199,6,58
200,9,59
201,1,59
202,3,59
203,7,59
204,6,59
205,4,60
206,2,60
207,3,60
208,5,60
209,6,60
210,10,61
211,3,61
212,1,62
213,2,62
214,6,63
215,2,63
216,4,63
217,2,64
218,5,64
219,2,65
220,4,65
221,8,65
222,6,65
223,3,66
224,6,66
225,4,66
226,9,66
227,4,67
228,10,67
229,2,67
230,1,67
231,8,67
232,2,68
233,1,68
234,9,68
235,7,68
236,6,68
237,10,69
238,9,69
239,6,69
240,1,69
241,6,70
242,1,70
243,10,70
244,10,71
245,2,71
246,8,71
247,4,72
248,8,72
249,1,72
250,8,73
251,6,73
252,6,74
253,8,74
254,1,75
255,7,75
256,4,76
257,3,76
258,8,77
259,1,77
260,2,78
261,4,78
262,5,79
263,8,79
264,6,80
265,4,80
266,9,80
267,7,80
268,8,80
269,4,81
270,9,81
271,8,81
272,3,81
273,2,81
274,7,82
275,9,82
276,2,82
277,3,83
278,5,83
279,8,84
280,10,84
281,2,84
282,9,85
283,8,85
284,10,86
285,5,86
286,7,86
287,3,87
288,8,87
289,4,87
290,2,87
291,2,88
292,8,88
293,5,88
294,10,88
295,4,88
296,2,89
297,1,89
298,3,90
299,9,90
300,5,90
301,6,90
302,7,90
303,5,91
304,6,91
305,4,91
306,1,92
307,7,92
308,5,92
309,2,93
310,7,93
311,10,93
312,5,93
313,8,93
314,2,94
315,9,94
316,7,94
317,6,94
318,5,94
319,7,95
320,8,95
321,3,95
322,5,96
323,7,96
324,4,97
325,2,97
326,5,97
327,6,97
328,7,97
329,4,98
330,10,98
331,3,98
332,1,98
333,9,98
334,7,99
335,2,99
336,8,99
337,1,99
338,10,99
339,3,100
340,6,100
341,8,100
342,7,100
343,9,101
344,2,101
345,8,102
346,7,102
347,5,103
348,4,103
349,3,103
350,8,103
351,5,104
352,8,104
353,3,105
354,5,105
355,2,105
356,6,106
357,3,106
358,1,106
359,6,107
360,2,107
361,4,107
362,3,107
363,5,107
364,6,108
365,4,108
366,1,109
367,10,109
368,3,109
369,7,110
370,1,110
371,2,111
372,10,111
373,3,112
374,9,112
375,4,112
376,8,113
377,4,113
378,5,113
379,6,113
380,10,113
381,5,114
382,6,114
383,7,114
384,1,114
385,2,115
386,5,115
387,1,115
388,4,116
389,3,116
390,9,116
391,7,116
392,2,117
393,6,117
394,3,117
395,4,117
396,5,118
397,6,118
398,4,119
399,6,119
400,5,119
401,10,119
402,3,120
403,7,120
